"","Guild","size","Indicator","category","guild_risk","n_guild_species","n_guild_species_measured","avg_guild_risk","rank","norm_rank","total_guild_risk","sum_ranks","legend_label","label_y"
"178","demersal_benthivore","small","revenue_5yr","Socioeconomic",5.11428571428571,10,9,0.568253968253968,6,0.75,13.0633587017747,110.5,"Socioeconomic:
revenue_5yr",1.18518518518519
"179","demersal_omnivore","large","revenue_5yr","Socioeconomic",0.942857142857143,3,3,0.314285714285714,2,0.25,11.261063336053,100,"Socioeconomic:
revenue_5yr",NA
"180","demersal_omnivore","small","revenue_5yr","Socioeconomic",1.11428571428571,2,2,0.557142857142857,5,0.625,11.8502581852146,92,"Socioeconomic:
revenue_5yr",NA
"181","demersal_piscivore","large","revenue_5yr","Socioeconomic",3.14285714285714,6,6,0.523809523809524,4,0.5,12.5225314211139,104,"Socioeconomic:
revenue_5yr",0.898148148148147
"182","demersal_piscivore","small","revenue_5yr","Socioeconomic",1.8,3,3,0.6,7,0.875,12.4578237342828,108.5,"Socioeconomic:
revenue_5yr",NA
"183","megabenthos","small","revenue_5yr","Socioeconomic",1.88571428571429,2,2,0.942857142857143,8,1,14.7678674499649,167,"Socioeconomic:
revenue_5yr",NA
"184","pelagic","small","revenue_5yr","Socioeconomic",2.31428571428571,5,5,0.462857142857143,3,0.375,13.268436630724,117,"Socioeconomic:
revenue_5yr",NA
"185","demersal_benthivore","large","revenue_hist","Socioeconomic",2.44444444444444,4,3,0.814814814814815,7,0.875,11.7167820026265,101,"Socioeconomic:
revenue_hist",NA
"186","demersal_benthivore","small","revenue_hist","Socioeconomic",4.47222222222222,10,9,0.496913580246914,4,0.5,13.0633587017747,110.5,"Socioeconomic:
revenue_hist",0.68827160493827
"187","demersal_omnivore","large","revenue_hist","Socioeconomic",1.19444444444444,3,2,0.597222222222222,6,0.75,11.261063336053,100,"Socioeconomic:
revenue_hist",NA
"188","demersal_omnivore","small","revenue_hist","Socioeconomic",0.527777777777778,2,2,0.263888888888889,1,0.125,11.8502581852146,92,"Socioeconomic:
revenue_hist",NA
"189","demersal_piscivore","large","revenue_hist","Socioeconomic",2.13888888888889,6,6,0.356481481481481,3,0.375,12.5225314211139,104,"Socioeconomic:
revenue_hist",0.541666666666666
"190","demersal_piscivore","small","revenue_hist","Socioeconomic",0.944444444444445,3,3,0.314814814814815,2,0.25,12.4578237342828,108.5,"Socioeconomic:
revenue_hist",NA
"191","megabenthos","small","revenue_hist","Socioeconomic",1.72222222222222,2,2,0.861111111111111,8,1,14.7678674499649,167,"Socioeconomic:
revenue_hist",NA
"192","pelagic","small","revenue_hist","Socioeconomic",2.75,5,5,0.55,5,0.625,13.268436630724,117,"Socioeconomic:
revenue_hist",NA
"193","demersal_benthivore","large","revenue_max","Socioeconomic",0.75,4,4,0.1875,2,0.25,11.7167820026265,101,"Socioeconomic:
revenue_max",NA
"194","demersal_benthivore","small","revenue_max","Socioeconomic",6.19444444444444,10,9,0.688271604938272,7,0.875,13.0633587017747,110.5,"Socioeconomic:
revenue_max",0
"195","demersal_omnivore","large","revenue_max","Socioeconomic",0.5,3,3,0.166666666666667,1,0.125,11.261063336053,100,"Socioeconomic:
revenue_max",NA
"196","demersal_omnivore","small","revenue_max","Socioeconomic",0.861111111111111,2,2,0.430555555555556,3,0.375,11.8502581852146,92,"Socioeconomic:
revenue_max",NA
"197","demersal_piscivore","large","revenue_max","Socioeconomic",3.25,6,6,0.541666666666667,5,0.625,12.5225314211139,104,"Socioeconomic:
revenue_max",0
"198","demersal_piscivore","small","revenue_max","Socioeconomic",1.63888888888889,3,3,0.546296296296296,6,0.75,12.4578237342828,108.5,"Socioeconomic:
revenue_max",NA
"199","megabenthos","small","revenue_max","Socioeconomic",1.58333333333333,2,2,0.791666666666667,8,1,14.7678674499649,167,"Socioeconomic:
revenue_max",NA
"200","pelagic","small","revenue_max","Socioeconomic",2.52777777777778,5,5,0.505555555555556,4,0.5,13.268436630724,117,"Socioeconomic:
revenue_max",NA
